标题,来源,时间,问题,回答
请教老师关于报考的几个问题,ec***indy (河南),2012-06-29 10:06,老师您好，我有以下几个问题需要老师帮忙解决：1，我是河南的理科考生，河南的一本线为540，我的分数为552，想问一下能否报考贵校？2，如果贵校抽取了学生档案而且该学生服从专业调剂，贵校还有没有退档的可能？3，如果在校成绩优异，还能不能调换专业？如果有二本的专业，那二本专业还能不能调换成一本专业？调换后对毕业证有什么影响？4，贵校是否能公派留学？5，贵校对填报志愿的顺序是否有特殊要求？如果第一志愿满足贵校要求的学生数已经超出了贵校的预招人数，那贵校还会看第二志愿吗？学生对报考的准备不充分，在此麻烦各位老师了，希望老师能尽量解答，学生万分感激！,[2011年我校在河南省招收理工类考生录取最低分超年河南省一本控制线5分，其他年份详细情况请查看我校招生信息网：http://zhaosheng.nefu.edu.cn/，历年资料，作为参考；有下列情况之一者，一般做退档处理：（一）所报专业已满且不服从调剂者(二）低分末段的考生（三）体检不合格者；下面的问题请查看我校招生信息网：http://zhaosheng.nefu.edu.cn/article/show.asp?id=863，有具体解释；在第一志愿录满的情况下，不再录取第二志愿。
录取,zk*** (山西),2012-06-29 09:34,你好，我是山西文科考生，543分，高出一本分数线4分，请问我能否报考贵校，希望大吗？,2011年我校在山西省招收的文史类考生录取的最低分为当年山西省一本控制线，其他年份的具体情况，请查看我校招生信息网：http://zhaosheng.nefu.edu.cn/，历年资料，作为参考。
报考,71*** (河南),2012-06-29 09:31,我是河南考生，考了548分一本线是540，报你们校行吗？,2011年我校在河南省招收的理工类考生录取最低分超当年河南省一本控制线5分，其他年份请查看我校招生信息网：http://zhaosheng.nefu.edu.cn/lnzl/，历年资料，作为参考。
谢谢,82*** (河南),2012-06-29 09:31,第一志愿报考你校的话是不是有照顾政策啊，我是河南考生，今年超一本线一分，能被降分录取吗？每年河南考生报考你校的多不多啊？谢谢,[我校对享受有政策加分的考生，由各省招生考试院按教育部及省级招生委员会的相关规定投档，我校审查决定是否录取。同一考生如符合多项加分条件，只取其中最高一项分值，加分不得超过20分。对有政策加分的考生在排定专业时均以高考实际成绩为准，成绩相当的情况下，优先录取有政策加分的考生；2011年我校在河南省招收理工类考生录取最低分超当年河南省一本控制线5分，其他年份请查看我校招生信息网：http://zhaosheng.nefu.edu.cn/lnzl/，历年资料，作为参考。
福建文科生,xi*** (福建),2012-06-29 09:22,您好，我581，高本一24分，排名3162.请问报考机会大么？文科专业是否有选择余地？谢谢,2011年我校在福建省招收的文史类考生录取的最低分超当年福建省一本控制线6分，其他年份及专业请查看我校招生信息网历年资料：http://zhaosheng.nefu.edu.cn/lnzl/，作为参考。
报考贵校,71*** (河南),2012-06-29 09:19,我考了548分，报考你校如何？河南一本线是5401,2011年我校在河南省招收的理工类考生录取最低分超当年河南省一本控制线5分，其他年份请查看我校招生信息网：http://zhaosheng.nefu.edu.cn/lnzl/，历年资料，作为参考。
录取,cg*** (内蒙古),2012-06-28 15:49,我是内蒙古的考生，成绩是519分（含民族分10分），能否被贵校录取，专业是否可调。谢谢,[2011年我校在内蒙古招收的文史类考生录取最低分超当年内蒙古一本控制线1分，其他年份请查看我校招生信息网：http://zhaosheng.nefu.edu.cn/lnzl/，历年资料，作为参考；我校对享受有政策加分的考生，由各省招生考试院按教育部及省级招生委员会的相关规定投档，我校审查决定是否录取。同一考生如符合多项加分条件，只取其中最高一项分值，加分不得超过20分。对有政策加分的考生在排定专业时均以高考实际成绩为准，成绩相当的情况下，优先录取有政策加分的考生。
咨询,zk*** (山西),2012-06-28 15:31,我是山西考生，总分543高出一本分数线4分，可以被贵校录取吗？,2011年我校在山西省招收的文史类考生录取的最低分为当年山西省一本控制线，其他年份的具体情况，请查看我校招生信息网：http://zhaosheng.nefu.edu.cn/，历年资料，作为参考。
福建554，报贵校,51*** (福建),2012-06-28 15:20,福建考生554分报贵校电气工程及自动化、机械设计制造及自动化被录取的几率多大,关于您所感兴趣的几个专业往年的情况，请参考我校招生信息网：http://zhaosheng.nefu.edu.cn/，历年资料，作为参考。
研究生,ma*** (贵州),2011-06-26 12:02,请问贵校的研究生设有哪些专业？有双学位的设置么？怎样才能获取双学位？望不吝赐教，谢谢！,学校鼓励学有余力的优秀学生自愿申请辅修第二专业。学生在学好本专业的前提下，利用在校期间的课余时间，同时辅修另一个专业，修满相应学分并通过论文答辩者，可授予第二专业学士学位。
录取,ma*** (贵州),2011-06-26 11:58,我是文科考生，今年高考分数516，请问可以报考贵校的农林经济管理专业么？望不吝赐教。谢谢！,"录取前无法预测，请登录http://zhaosheng.nefu.edu.cn/lnzl/查询历年资料，仅供参考,"
我是山东考生,sw*** (山东),2011-06-26 11:53,老师，你好，我是山东的一名理科考生，分数580分，请问报考贵校有希望吗,"录取前无法预测，请登录http://zhaosheng.nefu.edu.cn/lnzl/查询历年资料，仅供参考,"
2011美术艺术生录取,10***8 (河南),2011-06-26 11:15,我是河南省的理科美术艺术生，我的美术统考成绩是205分，文化课分数是541分，请问今年报考贵校有望吗？,"录取前无法预测，请登录http://zhaosheng.nefu.edu.cn/lnzl/查询历年资料，仅供参考,"
报考,87*** (陕西),2011-06-26 11:10,老师，您好，我是陕西考生考了543超一本线3分，能报考贵校吗？报考何专业录取的可能性更大？谢谢。,"录取前无法预测，请登录http://zhaosheng.nefu.edu.cn/lnzl/查询历年资料，仅供参考,"
救命咨询,55*** (山东),2011-06-26 10:46,我是山东2011理科512分能上贵校吗？能报啥专业？给点建议，跪谢！,我校为本科一批录取。
招生咨询,60*** (山东),2011-06-26 10:43,您好，我是山东理科考生，588分，超出一本线21分，可以报考贵校么？谢谢,"录取前无法预测，请登录http://zhaosheng.nefu.edu.cn/lnzl/查询历年资料，仅供参考,"
河南美术考生,ga*** (河南),2011-06-26 10:16,你好，我是今年河南美术生，专业省统考成绩217，文化成绩348，过本省本科控制线14分。如果填报贵校为第一志愿，录取的几率大吗？,"录取前无法预测，请登录http://zhaosheng.nefu.edu.cn/lnzl/查询历年资料，仅供参考,"
河北考生 理科,65*** (河北),2011-06-26 09:40,河北理科587报贵校的机械电子土木机械设计制造及其自动化工程管理有一定的希望吗？？,"录取前无法预测，请登录http://zhaosheng.nefu.edu.cn/lnzl/查询历年资料，仅供参考,"
咨询,xu***g2010 (山东),2011-06-26 09:35,山东文科573报考服从调剂能否录取,"录取前无法预测，请登录http://zhaosheng.nefu.edu.cn/lnzl/查询历年资料，仅供参考,"
咨询,li***11691 (山东),2011-06-26 09:26,老师您好！我是山东文科考生，超一本线13分，报考贵校希望多大？适合哪些专业？谢谢！,"录取前无法预测，请登录http://zhaosheng.nefu.edu.cn/lnzl/查询历年资料，仅供参考,"
提档比例？,cu***ang (河北),2011-06-25 16:58,请问艺术理提档的比例是多少，有没有退档，什么样情况下退档。,，我校在省级招办投放的考生电子档案范围内，按照考生文化成绩从高分到低分择优录取。
咨询,cu***ang (河北),2011-06-25 16:52,老师好，我是艺术理考生，联考成绩符合要求，文化成绩500分报考贵校有多大的把握。谢谢！,"录取前无法预测，请登录http://zhaosheng.nefu.edu.cn/lnzl/查询历年资料，仅供参考,"
咨询,hb***yu88 (河北),2011-06-25 16:42,我是河北理科考生考分587.数学考了134.想报考贵校的数学与应用数学、信息与计算科学和统计学。希望有多大。会不会被退档谢谢回答！,"录取前无法预测，请登录http://zhaosheng.nefu.edu.cn/lnzl/查询历年资料，仅供参考,"
河北理科考生598录取的几率有多大,st*** (河北),2011-06-25 16:24,河北理科考生598录取的几率有多大,"录取前无法预测，请登录http://zhaosheng.nefu.edu.cn/lnzl/查询历年资料，仅供参考,"
咨询,sx*** (河北),2012-06-26 11:43,老师：河北考生一本线上14分，报贵校有希望吗？,我校2011年在河北省招收理工类考生录取的最低分与当年河北省一本控制线一致，其他年份请参考我校招生信息网站：http://zhaosheng.nefu.edu.cn/，历年资料。
咨询,12***0930108 (天津),2012-06-26 11:10,天津理科523分，请问报考贵校统计学或会计学可有把握？,根据考生报考情况而定，详细查看我校招生信息网站：http://zhaosheng.nefu.edu.cn/，历年资料作为参考。
一志愿,30*** (河北),2012-06-26 10:48,河北理科生，572分，能否被贵校录取？,我校2011年在河北省招收理工类考生录取最低分数一本控制线581分，其他年份请参考我校招生信息网站：http://zhaosheng.nefu.edu.cn/，历年资料。
河北美术生,52*** (河北),2012-06-26 10:39,文化504能被录取吗？,我校2011年在河北省美术类文史录取的文化课最低分为516分，其他年份请参考我校：http://zhaosheng.nefu.edu.cn/lnzl/，历年资料。
文科美术,yu*** (河南),2012-06-26 10:30,老师们：您好，我是河南文科生，2012年河南美术统考成绩为255，文化课成绩为420分，请问报贵校艺术设计专业，被录取的希望有多大？谢谢您了，祝您万事如意。6月26号,您好，我校2011年在河南省录取美术类文史的文化课最低分为492，其他年份请查看我校招生信息网：http://zhaosheng.nefu.edu.cn/，历年资料作为参考。
咨询,su***19 (山东),2012-06-26 10:20,我想问一下，贵校报志愿时英语受限吗？英语需达到多少分？,志愿报考无小分限制。
山东美术考生,wa*** (山东),2012-06-26 10:13,您好我是山东美术考生文化课420分专业195报考本校艺术类专业如何,我校2011年在山东省录取的艺术类文史文化课最低分为471，其他年份可查看我校招生信息网：http://zhaosheng.nefu.edu.cn/，历年资料。
